molid,scientificname,date,lng,lat,uncertainty,event_id
5c73b7d3-4a90-44ca-bca8-12a656b72b1d,Archilochus colubris,2013-07-29T00:00:00Z,-71.287613,46.731568,25000,04d75a8b-9bed-4f0f-bc02-8ae713080031
05ff2b6c-02bf-4447-aba3-3305a56bdfc8,Archilochus colubris,2014-03-27T00:00:00Z,-84.6863581,29.842758,25000,b5f47009-297c-4ec2-b606-44410a1b736f
1d85554f-8c09-4e40-8b7b-0d9352471bfa,Archilochus colubris,2016-07-02T00:00:00Z,-77.8727872,40.9036084,25000,c58e303d-67d8-4145-aee2-06fd8a66a446
4a078c8a-1e16-476c-83f1-68e2080df375,Archilochus colubris,2014-09-12T00:00:00Z,-98.056,26.61006,25000,49c49034-1d10-479f-bd19-1134d9509b78
c470c1ff-71e9-4e3b-b60d-d6f0e6e8e970,Archilochus colubris,2013-08-20T00:00:00Z,-83.9220833,32.5198,25000,852330e3-1a27-4887-ad9c-5a2dc316b22c
8cfe628c-1a03-48a6-b085-5cf9b5550b83,Archilochus colubris,2017-05-30T00:00:00Z,-71.1892644,46.7260063,25000,2f2068ea-6c67-4951-bf63-209db29120a7
c4ebe949-6590-4726-bea6-4e6c7a1dcfd4,Archilochus colubris,2017-09-16T00:00:00Z,-86.006283,39.381172,25000,9c875a27-c2b9-4366-b49e-70e41055c07c
7749336e-0d05-4267-9910-c02dfca60758,Archilochus colubris,2017-07-16T00:00:00Z,-73.523536,41.5267158,25000,9c252855-bf0d-40d2-8e5e-862b0b46e363
828db51a-6157-49e3-bdd0-c1fe63e2ef47,Archilochus colubris,2015-06-21T00:00:00Z,-94.85487,49.71162,25000,156eca3b-22f8-4397-bc6f-c5487c71ce09
3adaeb43-8561-45ce-beba-f848a749f3af,Archilochus colubris,2016-02-21T00:00:00Z,-82.458048,27.356529,25000,9c2a12f7-5736-4b00-9687-631ecead3aab
ca9744b3-290c-4fdd-acef-823ea78ec106,Archilochus colubris,2015-05-08T00:00:00Z,-75.1773212,42.9506108,25000,746b599e-0808-49d8-8ff7-24ec092b4484
a2d1bc81-c2b3-4fd6-98f8-756acdeaa59b,Archilochus colubris,2013-10-26T00:00:00Z,-80.5592251,27.3687946,25000,30acf275-f958-446e-b49b-4d2e61ecfbd4
4d21a034-4b34-4b1e-a43e-fe4f99197b00,Archilochus colubris,2013-08-30T00:00:00Z,-86.4944668,30.4118361,25000,e547ed7b-1509-4315-b9e6-c31c2f4e23c3
27643e5f-1b26-4117-a494-4b3373ffa871,Archilochus colubris,2015-03-30T00:00:00Z,-81.610136,26.7144871,25000,f0373695-da02-47ac-99dd-cd7e4324d5da
fed0048d-85ab-45d8-a0c3-740bcdf1dd50,Archilochus colubris,2016-07-02T00:00:00Z,-90.20583,41.532047,25000,6a19b9c1-5a48-4f28-8904-963a69447d8a
b599b0e6-d589-4d92-a882-3bf0e99d25ee,Archilochus colubris,2013-05-14T00:00:00Z,-76.030852,42.047862,25000,b7b5ad7e-b85f-403d-8c6a-0a9160d03767
0e70c359-6109-4a09-b291-e6da10cc09d3,Archilochus colubris,2017-08-22T00:00:00Z,-68.616706,44.316916,25000,e8c6b9e1-9e1f-45ba-ab92-b77f85191159
508ce749-7cbe-401b-abf2-4510b138164a,Archilochus colubris,2016-07-31T00:00:00Z,-71.9530785,41.3545808,25000,a89184b2-54c1-43ca-87c2-47035f98f201
8ae467ba-a088-4b4d-a67a-d5de10d80754,Archilochus colubris,2017-07-22T00:00:00Z,-75.600646,41.01558,25000,1cebc2d1-5b97-431b-8284-898e31b9ce54
8efc50c2-78cc-49de-9e3c-39e6c9937a38,Archilochus colubris,2017-06-06T00:00:00Z,-89.7003613,48.2315943,25000,ad7bb77b-afad-46a1-99cb-c977ebf4aa19
78a4e24a-1dde-4e10-a4ad-7a54adf4ea87,Archilochus colubris,2016-06-24T00:00:00Z,-90.042099,42.9982986,25000,9248815a-9218-444a-88d6-10fa4da4f901
2ce8046f-8255-4679-82ec-1e1785ced138,Archilochus colubris,2013-09-01T00:00:00Z,-68.9106542,44.3384871,25000,47e204da-3d04-4803-9fbe-cce56daa17cb
d0891fb8-fafd-4692-a20b-ed99be7684a0,Archilochus colubris,2017-09-13T00:00:00Z,-78.7056224,40.1423202,25000,be71da0a-6203-4998-ac1e-8dd8fce10cc7
8bdb13d9-e3ef-4ad7-b249-8f3baf922377,Archilochus colubris,2013-04-24T00:00:00Z,-89.5042419,34.2396213,25000,b8882ad4-1a3f-4780-9292-48382533b7bb
361b13c8-a2ba-4847-b3d5-99119f22118b,Archilochus colubris,2015-05-03T00:00:00Z,-71.913051,43.296886,25000,126ba9c9-dcc7-4371-a5ab-94e9ca7a357b
18552048-eb66-45a7-829c-70ebe8351641,Archilochus colubris,2017-07-07T00:00:00Z,-72.560176,42.57581,25000,36ac22a4-86e9-4ec6-a079-25f262543cd9
462dcda8-3706-4353-a79b-5857046a4370,Archilochus colubris,2016-06-21T00:00:00Z,-91.788969,46.3060765,25000,5c7dd35e-3c5a-45af-8e4d-a986dcc47a3e
2f57b14a-e927-42ef-b57e-423f8d6964e3,Archilochus colubris,2016-08-14T00:00:00Z,-96.062202,45.900028,25000,08267e07-8801-46ec-8d46-3c6cfe2ed5ca
f5220b53-56dc-451e-9bda-790dcc184dda,Archilochus colubris,2017-04-17T00:00:00Z,-95.245187,30.567336,25000,6d9d0dd1-d4b6-4fbd-b885-dc6593d63f27
59a22d05-1911-4cdc-a46a-11f3cbb67177,Archilochus colubris,2016-05-06T00:00:00Z,-76.7528325,40.0095052,25000,b8622957-c80f-4e18-8900-7206a5d7eba3
be7cba0b-d812-463c-9c07-4e1644e98a3e,Archilochus colubris,2016-04-28T00:00:00Z,-87.4467409,36.4928878,25000,b18dc4a6-ebc9-462c-9d35-9b0fef2ea62b
2d7a5937-cea4-4f45-ae1b-501d1daf5fbc,Archilochus colubris,2016-09-02T00:00:00Z,-79.1899429,42.9843755,25000,18652724-a30b-477b-a71c-426c2e17726a
be0bc196-a397-4118-9672-4a89b7317627,Archilochus colubris,2015-09-15T00:00:00Z,-87.74384,41.97969,25000,7bc06680-aab6-4f35-bc65-f75144603421
e5bee7d8-b0a5-42bd-8a24-e57879d52977,Archilochus colubris,2016-06-15T00:00:00Z,-77.045745,41.196977,25000,eb12035f-e45e-4f4e-ae56-1910805d5c12
9a206e5b-2eea-486c-95e2-498a631c9e1f,Archilochus colubris,2017-08-14T00:00:00Z,-80.1137209,43.7498789,25000,a050d9e2-d55a-4080-bc9b-d3c1909bf1c0
9ffbb973-7d3d-4a16-bd26-dc3e55d24994,Archilochus colubris,2014-05-20T00:00:00Z,-83.1782396,41.1012634,25000,e5501a2a-1d98-429c-bd27-7b1fa380c97f
600ae5a9-7246-4204-9a9a-39eca5a7a4fc,Archilochus colubris,2015-06-15T00:00:00Z,-84.8326269,41.788635,25000,4927f48d-b642-47ed-9755-4b8da63f64f1
d89f99b5-fa6e-43c1-a56f-39a6dd33206f,Archilochus colubris,2015-08-18T00:00:00Z,-75.9909954,40.6417299,25000,a93c0771-a88a-439c-98cd-8bdf67c9368d
7e4f4ea7-b7fa-4261-9f03-44af874d23b1,Archilochus colubris,2014-05-05T00:00:00Z,-81.1709404,36.1346861,25000,e96b49d3-c30f-4efe-9dbb-ccec5db6f877
35546826-1ccb-4664-b0b4-2565ee765078,Archilochus colubris,2017-08-29T00:00:00Z,-87.4437904,41.5689033,25000,63b0d735-1037-4ee4-a105-4cb18d3197e8
6502ef65-5db9-4355-b785-c56192fc7024,Archilochus colubris,2016-08-01T00:00:00Z,-77.0227432,43.9241718,25000,b0f19941-f2d6-4021-8898-16fffa4eeb77
df0cb953-c743-4efa-80c7-c815c1d4dc59,Archilochus colubris,2017-08-08T00:00:00Z,-81.0178096,37.4235767,25000,c7aa81aa-ad39-4d3b-b0c7-d63f4d963167
8d890ddc-41ea-4733-976c-6ee98c8e82fa,Archilochus colubris,2016-01-29T00:00:00Z,-80.861527,28.603533,25000,134768de-493a-4d7d-af44-16fe3627941f
f2af1b34-b67c-4886-84bd-f13f633d7db2,Archilochus colubris,2013-06-05T00:00:00Z,-92.73531,44.93621,25000,9458e24b-82f9-435c-9e4b-cff39f1baaec
da9aeb79-bd4a-4fa5-aedb-a12b2ca0fbb2,Archilochus colubris,2017-08-27T00:00:00Z,-96.565639,40.276915,25000,113a2d7d-eb27-4a46-9ad5-8a93561edbfa
0a9f05d1-a3c2-4b76-b6ca-5815f1d3f12a,Archilochus colubris,2013-05-16T00:00:00Z,-79.9427676,40.8458592,25000,0f9dc8d9-8b56-4d5e-b23b-7a0dce5f0fdc
b4b65653-be57-4889-adc2-2d02fabdaa52,Archilochus colubris,2016-05-13T00:00:00Z,-94.7977075,32.134375,25000,66937b0f-c3ca-4901-af69-fef68b2cb544
2ab08c2c-eac9-4810-9809-0c987eca32bf,Archilochus colubris,2017-05-13T00:00:00Z,-77.1933746,39.0587168,25000,8d25b28f-23ee-4492-974a-a07ad2f9c66b
cd9cc1c3-543f-478b-a6e8-b73ba3b1dbee,Archilochus colubris,2013-08-07T00:00:00Z,-79.5289135,43.860401,25000,e9669310-a980-4a99-b07b-31544bdb80b4
bfe62cd0-3889-4de2-bea7-fa5a83a78eb0,Archilochus colubris,2014-07-12T00:00:00Z,-84.2216098,33.9440484,25000,0c8d0938-aaec-4d61-b580-ab22c1f263de
271b5383-a64e-4fa4-84e8-9b29da1ae231,Archilochus colubris,2013-06-27T00:00:00Z,-98.03593,29.58028,25000,c5a73546-fc92-40da-b5e8-c3b571affbd4
351ccb81-0fe8-4c74-a719-40c24e26c358,Archilochus colubris,2017-07-30T00:00:00Z,-104.2919683,50.5919284,25000,02449287-13d7-4857-820f-0578c92ee9d0
681bf00e-4825-4642-9a99-220689a34e17,Archilochus colubris,2017-06-01T00:00:00Z,-71.1040199,49.0116124,25000,91b2fb16-954d-4f38-8e2b-a14eaef9e89a
4442633f-a5d4-4c28-9942-0267be3181e0,Archilochus colubris,2013-09-18T00:00:00Z,-84.037731,33.9049381,25000,7726b269-4ee3-4fde-b1c6-f84670adec09
21c8c31e-4a4c-43e6-bb11-2778aa103c64,Archilochus colubris,2015-09-09T00:00:00Z,-84.4077659,43.1470901,25000,ab50a955-83ef-4ba0-be68-7c9de139a4a5
7da041ed-03b5-4799-9871-1280f3ef4ac7,Archilochus colubris,2014-07-17T00:00:00Z,-73.2491112,43.4061699,25000,4c0e7bd5-0fb3-4234-b198-c22d3877d1ad
