event_id,product,variable,s_buff,t_buff,value,stdev,pixel_count,total_scenes,total_value_scenes,notes
1cedf164-2254-4cf5-af32-a32e22e7120e,landsat8,derived:evi,30,16,,,,0,0,No scenes found
5a9a1257-1a6d-4c1d-9157-04c8e068ded7,landsat8,derived:evi,30,16,,,0.0,3,0,Values masked using quality control flag.
690b3a2e-1335-4fc8-97be-74ab61f15874,landsat8,derived:evi,30,16,0.2880973233372649,0.028236624442083524,4.0,2,2,
2ba33bae-963b-4d97-a513-8e15326653bc,landsat8,derived:evi,30,16,0.3419038092041963,0.0,2.0,3,2,
c6fab34c-d62d-4241-a423-028c64109324,landsat8,derived:evi,30,16,,,0.0,2,0,Values masked using quality control flag.
c364902c-8c6a-4d87-b02d-596b48002c77,landsat8,derived:evi,30,16,0.22680891456150842,0.0,1.0,3,1,
51a2b011-90c4-4f38-b872-4bc35a69ba22,landsat8,derived:evi,30,16,,,0.0,3,0,Values masked using quality control flag.
3ad4d8cb-4761-48d8-8633-263aba2cc91b,landsat8,derived:evi,30,16,0.33529963308178495,0.06376572425060173,4.0,2,2,
b89d33c6-6c27-450b-aa4f-8127ed0bd021,landsat8,derived:evi,30,16,,,0.0,3,0,Values masked using quality control flag.
ac71f330-3ecc-47be-ba00-796e515e0fca,landsat8,derived:evi,30,16,,,0.0,2,0,Values masked using quality control flag.
7e034209-8ff6-470a-a0bd-73c38da9ad0c,landsat8,derived:evi,30,16,,,0.0,3,0,Values masked using quality control flag.
5613d289-891d-4dd9-bba1-91b669e3f412,landsat8,derived:evi,30,16,,,0.0,2,0,Values masked using quality control flag.
b800ac93-39d1-4d7b-85a8-da4d05b8e770,landsat8,derived:evi,30,16,0.5950366925202444,0.0,1.0,3,1,
fe965e8c-44eb-48fc-85f4-1b5a43e4f53b,landsat8,derived:evi,30,16,,,0.0,3,0,Values masked using quality control flag.
162a20e0-5289-4e24-a177-24722a7313a6,landsat8,derived:evi,30,16,0.21586511605828052,0.006031613140591678,5.0,3,3,
0db51298-1622-4c29-808b-081db0f8c92a,landsat8,derived:evi,30,16,0.5966911818906999,0.06004131237092536,2.0,2,1,
231a51ff-7230-493f-b3cf-8ab4d269fcd6,landsat8,derived:evi,30,16,0.21422175915042396,0.009111967099032614,2.0,1,1,
4f449c84-beb9-4d11-91ef-de355a7ba363,landsat8,derived:evi,30,16,,,0.0,2,0,Values masked using quality control flag.
