"scientificName","latitude","longitude","date","effort_distance_km","run","event_id"
"Calypte anna",47.7985445,-122.2997725,2017-12-31,0.161,150,1
"Calypte anna",37.4703452,-122.2342622,2015-02-16,0.2,150,2
"Calypte anna",37.0333232,-121.847949,2013-03-01,0.241,150,3
"Calypte anna",38.4810441,-122.7097203,2017-04-18,0.241,150,4
"Calypte anna",48.0583226,-122.9198055,2013-10-24,0.161,150,5
"Calypte anna",36.3092887,-119.7921443,2014-05-16,0.161,150,6
"Calypte anna",38.3993722,-121.2220639,2017-06-29,0.161,150,7
"Calypte anna",34.4619008,-119.8919964,2015-06-29,0.201,150,8
"Calypte anna",33.8321732,-117.8831613,2016-08-29,0.161,150,9
"Calypte anna",38.4181975,-122.6891541,2015-04-18,0.161,150,10
"Calypte anna",38.711266,-123.0103728,2017-05-08,0.161,150,11
"Calypte anna",34.631073,-112.45973,2013-09-24,0.161,150,12
"Calypte anna",32.8533365,-117.2582388,2015-04-04,0.161,150,13
"Calypte anna",37.8573502,-122.1327782,2016-11-10,0.161,150,14
"Calypte anna",36.998871,-122.035131,2015-12-19,0.161,150,15
"Calypte anna",33.83097,-118.1322778,2014-06-06,0.161,150,16
"Calypte anna",39.2875833,-123.1065833,2015-04-06,0.161,150,17
"Calypte anna",38.9396527,-121.0439649,2016-03-27,0.161,150,18
"Calypte anna",37.8125961,-122.2624713,2017-08-20,0.2,150,19
"Calypte anna",36.3690349,-119.0336071,2016-04-17,0.161,150,20
"Calypte anna",42.5064143,-123.3493754,2017-12-19,0.241,150,21
"Calypte anna",45.6926764,-122.7044964,2015-11-26,0.161,150,22
"Calypte anna",43.9880611,-121.3858105,2017-08-26,0.161,150,23
"Calypte anna",38.4476928,-121.4623873,2017-02-09,0.161,150,24
"Calypte anna",37.542546,-122.23077,2014-01-01,0.193,150,25
"Calypte anna",34.1095592,-117.7150726,2013-04-02,0.161,150,26
"Calypte anna",39.1190404,-121.6225362,2013-11-30,0.161,150,27
"Calypte anna",36.1677157,-115.154314,2015-01-22,0.2,150,28
"Calypte anna",47.3955413,-122.1136594,2016-04-21,0.241,150,29
"Calypte anna",38.5659567,-121.7490989,2016-01-05,0.161,150,30
"Calypte anna",47.623174,-122.308925,2016-01-09,0.161,150,31
"Calypte anna",36.420853,-121.221802,2014-04-10,0.161,150,32
"Calypte anna",34.265531,-119.220307,2017-02-01,0.241,150,33
"Calypte anna",34.079496,-117.761757,2016-02-23,0.2,150,34
"Calypte anna",37.8837263,-122.21075,2017-09-11,0.161,150,35
"Calypte anna",33.1113772,-117.2370152,2017-12-23,0.161,150,36
"Calypte anna",34.240164,-119.203026,2014-12-18,0.161,150,37
"Calypte anna",34.734866,-119.989153,2015-10-26,0.161,150,38
"Calypte anna",40.9431833,-124.1276443,2013-10-25,0.161,150,39
"Calypte anna",36.32494,-119.07855,2015-04-18,0.161,150,40
"Calypte anna",38.362671,-122.008547,2015-11-13,0.161,150,41
"Calypte anna",38.6453664,-121.2605131,2016-01-13,0.161,150,42
"Calypte anna",36.1166525,-115.1711154,2013-12-24,0.241,150,43
"Calypte anna",32.584234,-117.040763,2017-03-22,0.161,150,44
"Calypte anna",33.079997,-116.871984,2017-02-21,0.161,150,45
"Calypte anna",36.7025844,-121.8037784,2015-12-16,0.161,150,46
"Calypte anna",45.658796,-123.2098273,2017-11-03,0.161,150,47
"Calypte anna",45.554118,-122.7349877,2016-01-23,0.241,150,48
"Calypte anna",42.2529813,-122.7390432,2016-04-06,0.161,150,49
"Calypte anna",32.2609617,-110.902029,2015-04-27,0.161,150,50
"Calypte anna",36.9710469,-121.9947866,2016-11-25,0.161,150,51
"Calypte anna",38.8679477,-121.3563752,2016-01-30,0.161,150,52
"Calypte anna",47.241242,-122.138506,2015-09-15,0.161,150,53
"Calypte anna",37.5061952,-122.3413122,2016-06-18,0.161,150,54
"Calypte anna",40.8209493,-124.1868246,2015-10-01,0.161,150,55
"Calypte anna",37.9732156,-122.6202053,2014-05-07,0.161,150,56
"Calypte anna",45.9063,-122.664256,2017-08-25,0.161,150,57
"Calypte anna",32.94793,-117.244744,2017-11-29,0.241,150,58
"Calypte anna",33.23209,-117.31978,2013-11-27,0.161,150,59
"Calypte anna",31.550142,-110.221523,2016-07-31,0.161,150,60
"Calypte anna",38.206973,-122.157797,2013-12-10,0.193,150,61
"Calypte anna",39.0708584,-121.8938363,2015-05-14,0.161,150,62
"Calypte anna",45.2295697,-123.2173605,2017-02-10,0.161,150,63
"Calypte anna",36.639062,-120.626238,2013-01-12,0.193,150,64
"Calypte anna",34.417755,-119.835232,2013-12-26,0.161,150,65
"Calypte anna",36.4792531,-121.7218345,2016-05-11,0.161,150,66
"Calypte anna",39.3615439,-123.3272302,2015-08-06,0.161,150,67
"Calypte anna",39.5032597,-123.7870763,2014-01-27,0.161,150,68
"Calypte anna",36.2543098,-118.7107086,2016-07-09,0.161,150,69
"Calypte anna",38.4651152,-122.8820533,2017-03-14,0.201,150,70
"Calypte anna",36.5896757,-121.9094387,2014-10-06,0.161,150,71
"Calypte anna",33.833145,-118.2795402,2017-04-10,0.161,150,72
"Calypte anna",44.03483,-123.103308,2016-01-23,0.161,150,73
"Calypte anna",32.7012146,-117.1982861,2013-04-26,0.161,150,74
"Calypte anna",32.8405463,-117.0233202,2015-05-31,0.161,150,75
"Calypte anna",37.8036362,-122.4681985,2017-04-29,0.161,150,76
"Calypte anna",34.096116,-118.4169102,2016-10-21,0.161,150,77
"Calypte anna",34.131865,-118.187392,2016-10-31,0.2,150,78
"Calypte anna",38.0606072,-122.8172055,2014-12-30,0.161,150,79
"Calypte anna",36.8883222,-121.8295598,2013-03-18,0.161,150,80
"Calypte anna",30.1909657,-94.1916543,2016-01-06,0.161,150,81
"Calypte anna",34.8744654,-111.788973,2017-04-20,0.161,150,82
"Calypte anna",33.268656,-111.993269,2016-04-08,0.241,150,83
"Calypte anna",33.9299502,-116.907658,2016-09-21,0.161,150,84
"Calypte anna",38.04064,-122.79914,2013-12-31,0.161,150,85
