system:index,date,id,lat,lng,value,.geo
000000000000000009be,2013-01-01,2495,36.9585411,-121.7603699,0.30019965535469106,
00000000000000000afe,2013-01-01,2815,36.923942,-121.7939438,0.33923926063252735,
00000000000000000bf1,2013-01-01,3058,48.242437,-122.404702,0.3983429451018283,
00000000000000000c2c,2013-01-01,3117,36.953287,-121.7571616,0.32683141043443664,
00000000000000000f0e,2013-01-01,3855,37.9171302,-122.70138549804688,0.37075417600612587,
00000000000000001230,2013-01-01,4657,36.9345941,-121.6873598,0.37251527779303556,
000000000000000016a9,2013-01-01,5802,33.696721,-116.278747,0.6082120542243293,
00000000000000001b6d,2013-01-01,7022,48.8142161,-123.6525987,0.42965221599083186,
00000000000000001bc8,2013-01-01,7113,34.604593,-118.135215,0.24060296756282137,
00000000000000001c54,2013-01-01,7253,32.40372085571289,-110.99461364746094,0.40212580118924,
00000000000000001e48,2013-01-01,7753,38.1975848,-122.0809364,0.28285783475619247,
00000000000000001feb,2013-01-01,8172,33.3464949,-114.6861974,0.558166845318833,
000000000000000021d7,2013-01-01,8664,32.8126408,-117.0321044,0.15993144240738635,
0000000000000000227d,2013-01-01,8830,33.730643,-112.535426,0.21471136792624368,
0000000000000000235b,2013-01-01,9052,42.4251865,-124.3875671,0.5068512639584566,
000000000000000025ba,2013-01-01,9659,33.8034921,-116.5008652,0.6613302649272454,
000000000000000025ce,2013-01-01,9679,36.9466679,-121.6986465,0.29732837622702535,
000000000000000025fd,2013-01-01,9726,43.98687744140625,-122.966933,0.4275546538599567,
00000000000000002705,2013-01-01,9990,46.0885138,-122.9385608,0.28795618327187605,
00000000000000000de7,2013-01-02,3560,34.4253085,-119.6650236,0.28576463449070916,
00000000000000001275,2013-01-02,4726,34.429976,-119.651721,0.3558011869008273,
00000000000000001cea,2013-01-02,7403,39.2392107,-121.190995,0.14257474001848125,
0000000000000000210f,2013-01-02,8464,38.803681,-121.3285875,0.4223425284559014,
0000000000000000242c,2013-01-02,9261,35.1487074,-120.6536612,0.28227855292685916,
000000000000000004bc,2013-01-03,1213,35.581923,-121.1208075,0.30547232271407027,
00000000000000000652,2013-01-03,1619,37.6205791,-122.4813792,0.3355711704009358,
00000000000000000692,2013-01-03,1683,35.562068,-121.0830523,0.392527237338471,
00000000000000000f40,2013-01-03,3905,37.3789486,-122.1156381,0.20452569031875845,
00000000000000000551,2013-01-04,1362,35.656028747558594,-120.37860870361328,0.5208781814472422,
00000000000000000951,2013-01-04,2386,32.275924,-110.9520782,0.13189647731479395,
0000000000000000098c,2013-01-04,2445,47.1693812,-122.5613737,0.42845913451617995,
000000000000000012d3,2013-01-04,4820,37.260231018066406,-121.95551300048828,0.20792297022256773,
0000000000000000178f,2013-01-04,6032,34.237220764160156,-117.497994,0.43579067405254523,
00000000000000001a5e,2013-01-04,6751,33.749908447265625,-118.0407357,0.5440518539385258,
00000000000000000284,2013-01-05,645,37.3661417,-122.0529266,0.2622256222568522,
00000000000000000326,2013-01-05,807,32.9792922,-115.5301666,0.10094165312416886,
0000000000000000044c,2013-01-05,1101,34.6333845,-120.4617834,0.28382517083557085,
00000000000000000770,2013-01-05,1905,34.352613,-119.3083477,0.47745026390090695,
000000000000000014c4,2013-01-05,5317,33.7676069,-118.1178096,0.22486259379338128,
00000000000000001559,2013-01-05,5466,33.5787745,-117.6772213,0.4201199001054816,
00000000000000002239,2013-01-05,8762,47.5779202,-122.5207758,0.4438033270913809,
0000000000000000240e,2013-01-05,9231,45.5783068,-122.7398211,0.29283580913748997,
000000000000000024ad,2013-01-05,9390,45.4625306,-122.6242465,0.44281194341181873,
0000000000000000270b,2013-01-05,9996,34.4343845,-119.6322823,0.33627144869638576,
