,event_id,s_buff,product,variable,total_scenes,total_value_scenes,pixel_count,value,stdev,t_buff,notes
0,1163,1000,earthenvhabhet,coefficient_variation,1,1,3,297.0,46.31054595517814,0,
1,1806,1000,earthenvhabhet,coefficient_variation,1,1,3,611.3333333333334,44.90978611493144,0,
2,1496,1000,earthenvhabhet,coefficient_variation,1,1,3,444.6666666666667,20.98147330914162,0,
3,5124,1000,earthenvhabhet,coefficient_variation,1,1,2,378.0,3.0,0,
4,4307,1000,earthenvhabhet,coefficient_variation,1,1,2,359.5,31.5,0,
5,4831,1000,earthenvhabhet,coefficient_variation,1,1,2,1444.5,553.5,0,
6,690,1000,earthenvhabhet,coefficient_variation,1,1,3,375.0,55.93448548674303,0,
7,3114,1000,earthenvhabhet,coefficient_variation,1,1,2,410.5,31.5,0,
8,2857,1000,earthenvhabhet,coefficient_variation,1,1,4,516.25,115.08122131781536,0,
9,1158,1000,earthenvhabhet,coefficient_variation,1,1,2,547.0,117.0,0,
10,439,1000,earthenvhabhet,coefficient_variation,1,1,2,660.0,102.0,0,
11,4337,1000,earthenvhabhet,coefficient_variation,1,1,3,1552.3333333333333,76.36025726049441,0,
12,2467,1000,earthenvhabhet,coefficient_variation,1,1,2,1446.5,58.5,0,
13,4111,1000,earthenvhabhet,coefficient_variation,1,1,4,597.75,85.87600072197121,0,
14,4081,1000,earthenvhabhet,coefficient_variation,1,1,2,564.0,23.0,0,
15,1068,1000,earthenvhabhet,coefficient_variation,1,1,2,329.0,34.0,0,
16,106,1000,earthenvhabhet,coefficient_variation,1,1,4,535.75,149.1381490430936,0,
17,4512,1000,earthenvhabhet,coefficient_variation,1,1,3,859.0,85.77878525602937,0,
18,485,1000,earthenvhabhet,coefficient_variation,1,1,3,692.6666666666666,39.852505846210256,0,
19,3335,1000,earthenvhabhet,coefficient_variation,1,1,2,468.0,34.0,0,
20,110,1000,earthenvhabhet,coefficient_variation,1,1,2,745.0,35.0,0,
21,2860,1000,earthenvhabhet,coefficient_variation,1,1,3,1085.3333333333333,246.36197397776758,0,
22,4762,1000,earthenvhabhet,coefficient_variation,1,1,1,1453.0,0.0,0,
23,180,1000,earthenvhabhet,coefficient_variation,1,1,3,1150.0,705.714295353769,0,
24,449,1000,earthenvhabhet,coefficient_variation,1,1,4,1546.0,626.3222014267097,0,
