,event_id,s_buff,product,variable,total_scenes,total_value_scenes,pixel_count,value,stdev,t_buff,notes
0,1806,1000,modis,lst_day_1km,1,1,1,295.38,0.0,1,
1,4307,1000,modis,lst_day_1km,1,1,2,295.87,0.11000000000001364,1,
2,690,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
3,2857,1000,modis,lst_day_1km,1,1,1,297.5,0.0,1,
4,1158,1000,modis,lst_day_1km,1,1,2,296.82,1.1999999999999886,1,
5,4081,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
6,1068,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
7,2860,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
8,223,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
9,1577,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
10,3972,1000,modis,lst_day_1km,1,1,1,306.44,0.0,1,
11,80,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
12,2442,1000,modis,lst_day_1km,1,1,2,299.72,0.0,1,
13,4373,1000,modis,lst_day_1km,1,1,3,302.7733333333333,0.361601376595239,1,
14,3492,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
15,1615,1000,modis,lst_day_1km,1,1,2,286.04999999999995,0.030000000000001137,1,
16,605,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
17,811,1000,modis,lst_day_1km,1,1,1,294.16,0.0,1,
18,404,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
19,4407,1000,modis,lst_day_1km,1,1,1,297.44,0.0,1,
20,402,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
21,3882,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
22,4142,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
23,630,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
24,4794,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
25,4141,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
26,4940,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
27,1341,1000,modis,lst_day_1km,1,1,3,313.08,1.69524826107171,1,
28,2194,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
29,771,1000,modis,lst_day_1km,1,1,4,303.855,0.19716744153130983,1,
30,4906,1000,modis,lst_day_1km,1,1,2,301.33000000000004,0.04999999999998295,1,
31,1894,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
32,3624,1000,modis,lst_day_1km,1,1,1,298.66,0.0,1,
33,682,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
34,4957,1000,modis,lst_day_1km,1,1,2,309.97,1.0100000000000193,1,
35,3059,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
36,5113,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
37,2148,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
38,3770,1000,modis,lst_day_1km,1,1,3,302.68666666666667,0.8905928113091646,1,
39,1233,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
40,1102,1000,modis,lst_day_1km,1,1,2,291.24,0.01999999999998181,1,
41,4599,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
42,1329,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
43,4140,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
44,2632,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
45,2416,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
46,4007,1000,modis,lst_day_1km,1,1,2,299.97,0.010000000000019327,1,
47,4362,1000,modis,lst_day_1km,1,1,3,299.32,1.143095213298821,1,
48,3110,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
49,1208,1000,modis,lst_day_1km,1,1,1,311.46,0.0,1,
50,398,1000,modis,lst_day_1km,1,1,1,304.72,0.0,1,
51,4165,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
52,592,1000,modis,lst_day_1km,1,1,3,316.43333333333334,0.14817407180594044,1,
53,3086,1000,modis,lst_day_1km,1,1,1,311.74,0.0,1,
54,2302,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
55,3594,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
56,4958,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
57,2210,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
58,1206,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
59,3562,1000,modis,lst_day_1km,1,1,2,310.82,0.12000000000000455,1,
60,5016,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
61,2695,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
62,4019,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
63,5182,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
64,2583,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
65,2377,1000,modis,lst_day_1km,1,1,2,304.93,1.3500000000000227,1,
66,734,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
67,4850,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
68,5120,1000,modis,lst_day_1km,1,1,1,303.1,0.0,1,
69,3070,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
70,4670,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
71,3608,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
72,3519,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
73,4495,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
74,1665,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
75,1640,1000,modis,lst_day_1km,1,1,2,304.83000000000004,0.04999999999998295,1,
76,2616,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
77,3186,1000,modis,lst_day_1km,1,1,1,300.48,0.0,1,
78,900,1000,modis,lst_day_1km,1,1,2,321.07,0.12999999999999545,1,
79,2675,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
80,196,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
81,1331,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
82,363,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
83,274,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
84,4660,1000,modis,lst_day_1km,1,1,2,318.18,0.060000000000002274,1,
85,1117,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
86,111,1000,modis,lst_day_1km,1,1,1,305.36,0.0,1,
87,2085,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
88,3565,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
89,3154,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
