,event_id,s_buff,product,variable,total_scenes,total_value_scenes,pixel_count,value,stdev,t_buff,notes
0,3776,30,landsat8,derived:evi,3,3,6.0,0.6253222948143518,0.058937206364702156,16,
1,1540,30,landsat8,derived:evi,2,1,1.0,0.6174532326834321,0.0,16,
2,4983,30,landsat8,derived:evi,2,2,2.0,0.7543373312467005,0.0,16,
3,1981,30,landsat8,derived:evi,1,1,2.0,0.1368643913450105,0.0063640763152594815,16,
4,236,30,landsat8,derived:evi,1,0,0.0,,,16,Values masked using quality control flag.
5,4769,30,landsat8,derived:evi,1,1,1.0,0.5180905851429729,0.0,16,
6,1316,30,landsat8,derived:evi,1,1,2.0,0.60348277701366,0.05691549718410027,16,
7,3571,30,landsat8,derived:evi,3,0,0.0,,,16,Values masked using quality control flag.
8,2661,30,landsat8,derived:evi,1,0,0.0,,,16,Values masked using quality control flag.
9,4900,30,landsat8,derived:evi,1,0,0.0,,,16,Values masked using quality control flag.
10,3842,30,landsat8,derived:evi,1,1,2.0,0.41861384301249094,0.01864726823330909,16,
11,3703,30,landsat8,derived:evi,2,2,4.0,0.51448847065853,0.02902932050180712,16,
12,4213,30,landsat8,derived:evi,3,2,3.0,0.08159308260779063,0.00028854284758961235,16,
13,4993,30,landsat8,derived:evi,1,1,2.0,0.8660567852678461,0.002101355836963248,16,
14,4547,30,landsat8,derived:evi,1,0,0.0,,,16,Values masked using quality control flag.
15,1668,30,landsat8,derived:evi,3,2,4.0,0.66208217907362,0.00476331577418404,16,
16,1193,30,landsat8,derived:evi,2,2,4.0,0.42646398369003863,0.06542905396143922,16,
17,221,30,landsat8,derived:evi,2,1,1.0,0.24570640995775217,0.0,16,
18,1763,30,landsat8,derived:evi,3,0,0.0,,,16,Values masked using quality control flag.
19,3770,30,landsat8,derived:evi,3,0,0.0,,,16,Values masked using quality control flag.
20,3587,30,landsat8,derived:evi,3,3,6.0,0.29844779191190735,0.02121158268656753,16,
21,4683,30,landsat8,derived:evi,2,2,4.0,0.40534139191200347,0.01884757161594608,16,
22,4777,30,landsat8,derived:evi,2,1,2.0,0.42651070097840527,0.011531390729385915,16,
23,3650,30,landsat8,derived:evi,1,1,2.0,0.49245085804546773,0.048800595899516686,16,
24,2274,30,landsat8,derived:evi,2,1,3.0,0.39453526828499946,0.0828245297053086,16,
25,4562,30,landsat8,derived:evi,2,1,3.0,0.6811584208816264,0.02053518966649793,16,
26,1108,30,landsat8,derived:evi,1,0,0.0,,,16,Values masked using quality control flag.
27,954,30,landsat8,derived:evi,1,0,0.0,,,16,Values masked using quality control flag.
28,2048,30,landsat8,derived:evi,1,1,2.0,0.29337394051277865,0.018351324255754253,16,
29,3721,30,landsat8,derived:evi,1,0,0.0,,,16,Values masked using quality control flag.
30,2472,30,landsat8,derived:evi,1,1,2.0,0.4178142198073125,0.0071193568093606,16,
