,event_id,s_buff,product,variable,total_scenes,total_value_scenes,pixel_count,value,stdev,t_buff,notes
0,948,1000,modis,lst_day_1km,1,1,2,301.27,1.4899999999999807,1,
1,725,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
2,3853,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
3,2139,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
4,1184,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
5,948,1000,modis,lst_day_1km,30,10,20,293.941,0.43299999999999556,30,
6,725,1000,modis,lst_day_1km,30,11,20,294.3972727272727,0.26818181818181974,30,
7,3853,1000,modis,lst_day_1km,30,11,11,292.5872727272727,0.0,30,
8,2139,1000,modis,lst_day_1km,30,4,4,268.24,0.0,30,
9,1184,1000,modis,lst_day_1km,30,9,17,301.02666666666664,0.3111111111111124,30,
10,4977,1000,modis,lst_day_1km,1,1,2,259.48,0.020000000000010232,1,
11,73,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
12,4977,1000,modis,lst_day_1km,30,6,11,268.8633333333333,0.11000000000001364,30,
13,73,1000,modis,lst_day_1km,30,18,27,288.35777777777776,0.17888888888888882,30,
14,2098,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
15,2901,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
16,1665,1000,modis,lst_day_1km,2,1,1,289.94,0.0,1,
17,2098,1000,modis,lst_day_1km,60,12,23,303.1816666666667,0.12999999999999545,30,
18,2901,1000,modis,lst_day_1km,60,14,14,290.6914285714286,0.0,30,
19,1665,1000,modis,lst_day_1km,60,9,9,292.0022222222222,0.0,30,
20,4425,1000,modis,lst_day_1km,1,1,2,260.98,0.4000000000000057,1,
21,4278,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
22,930,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
23,3374,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
24,4297,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
25,4425,1000,modis,lst_day_1km,30,6,12,259.46500000000003,0.12833333333333505,30,
26,4278,1000,modis,lst_day_1km,30,2,2,269.63,0.0,30,
27,930,1000,modis,lst_day_1km,30,11,20,273.5218181818182,0.1272727272727252,30,
28,3374,1000,modis,lst_day_1km,30,3,3,260.8733333333334,0.0,30,
29,4297,1000,modis,lst_day_1km,30,9,17,257.8755555555556,0.11111111111110637,30,
30,4440,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
31,2485,1000,modis,lst_day_1km,1,1,2,295.46000000000004,0.7399999999999807,1,
32,2527,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
33,4365,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
34,757,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
35,3578,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
36,2175,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
37,4440,1000,modis,lst_day_1km,30,14,28,270.1614285714286,0.08428571428571274,30,
38,2485,1000,modis,lst_day_1km,30,9,18,290.6166666666667,0.46333333333332877,30,
39,2527,1000,modis,lst_day_1km,30,11,11,279.8018181818182,0.0,30,
40,4365,1000,modis,lst_day_1km,30,9,9,294.8377777777778,0.0,30,
41,757,1000,modis,lst_day_1km,30,10,19,292.33399999999995,0.4259999999999934,30,
42,3578,1000,modis,lst_day_1km,30,13,25,293.80846153846153,0.21615384615384195,30,
43,2175,1000,modis,lst_day_1km,30,12,23,276.7575,0.3925000000000007,30,
44,3665,1000,modis,lst_day_1km,1,1,1,286.26,0.0,1,
45,638,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
46,4341,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
47,3665,1000,modis,lst_day_1km,30,4,4,274.185,0.0,30,
48,638,1000,modis,lst_day_1km,30,9,9,297.05333333333334,0.0,30,
49,4341,1000,modis,lst_day_1km,30,5,5,262.8,0.0,30,
50,2156,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
51,4611,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
52,1959,1000,modis,lst_day_1km,1,1,1,300.90000000000003,0.0,1,
53,1016,1000,modis,lst_day_1km,1,1,2,303.34000000000003,0.03999999999999204,1,
54,1679,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
55,2156,1000,modis,lst_day_1km,30,10,19,275.73400000000004,0.08000000000000398,30,
56,4611,1000,modis,lst_day_1km,30,4,8,268.605,0.41500000000000625,30,
57,1959,1000,modis,lst_day_1km,30,14,14,293.3442857142857,0.0,30,
58,1016,1000,modis,lst_day_1km,30,16,31,300.85875000000004,0.13624999999999865,30,
59,1679,1000,modis,lst_day_1km,30,12,12,276.50666666666666,0.0,30,
60,4094,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
61,2617,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
62,4973,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
63,451,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
64,4094,1000,modis,lst_day_1km,30,8,15,286.07500000000005,0.07750000000000057,30,
65,2617,1000,modis,lst_day_1km,30,13,25,296.2830769230769,0.207692307692309,30,
66,4973,1000,modis,lst_day_1km,30,13,13,285.49692307692305,0.0,30,
67,451,1000,modis,lst_day_1km,30,2,2,266.12,0.0,30,
68,437,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
69,437,1000,modis,lst_day_1km,30,7,7,284.5142857142857,0.0,30,
70,4442,1000,modis,lst_day_1km,1,1,2,298.54,0.18000000000000682,1,
71,4157,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
72,2621,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
73,4442,1000,modis,lst_day_1km,30,10,20,297.187,0.1110000000000042,30,
74,4157,1000,modis,lst_day_1km,30,7,7,266.86285714285714,0.0,30,
75,2621,1000,modis,lst_day_1km,30,5,9,264.594,0.35400000000000204,30,
76,4940,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
77,4940,1000,modis,lst_day_1km,30,15,15,292.71733333333333,0.0,30,
78,3413,1000,modis,lst_day_1km,1,1,1,287.12,0.0,1,
79,3413,1000,modis,lst_day_1km,30,10,10,277.444,0.0,30,
80,3182,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
81,3182,1000,modis,lst_day_1km,30,7,14,263.38571428571424,0.10857142857143133,30,
82,626,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
83,626,1000,modis,lst_day_1km,30,0,0,,,30,Values masked using quality control flag.
84,2438,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
85,2438,1000,modis,lst_day_1km,30,12,12,286.4466666666667,0.0,30,
86,4247,1000,modis,lst_day_1km,1,1,1,296.1,0.0,1,
87,4247,1000,modis,lst_day_1km,30,13,13,295.16153846153844,0.0,30,
88,2768,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
89,2768,1000,modis,lst_day_1km,30,8,14,303.45875,0.37875000000000014,30,
90,4734,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
91,3792,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
92,3705,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
93,2981,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
94,4047,1000,modis,lst_day_1km,1,1,2,299.81,0.6299999999999955,1,
95,3340,1000,modis,lst_day_1km,1,1,1,294.34000000000003,0.0,1,
96,4734,1000,modis,lst_day_1km,30,3,9,310.4355555555556,0.4667192801317432,30,
97,3792,1000,modis,lst_day_1km,30,6,10,311.145,0.05500000000000208,30,
98,3705,1000,modis,lst_day_1km,30,5,10,306.758,0.20599999999999455,30,
99,2981,1000,modis,lst_day_1km,30,12,27,305.6022222222222,0.4746680380363562,30,
100,4047,1000,modis,lst_day_1km,30,18,48,302.70500000000004,0.8438152708101287,30,
101,3340,1000,modis,lst_day_1km,30,15,15,295.68800000000005,0.0,30,
102,2521,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
103,1767,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
104,2521,1000,modis,lst_day_1km,30,10,18,265.251,0.04900000000000233,30,
105,1767,1000,modis,lst_day_1km,30,16,16,296.2625,0.0,30,
106,3090,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
107,3270,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
108,4639,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
109,1878,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
110,3090,1000,modis,lst_day_1km,30,13,23,299.68615384615384,0.49692307692307974,30,
111,3270,1000,modis,lst_day_1km,30,19,73,300.5589473684211,0.7617566622509849,30,
112,4639,1000,modis,lst_day_1km,30,15,15,301.57733333333334,0.0,30,
113,1878,1000,modis,lst_day_1km,30,15,30,306.70133333333337,0.2613333333333363,30,
114,3668,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
115,4295,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
116,965,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
117,4092,1000,modis,lst_day_1km,1,1,2,303.72,1.0600000000000023,1,
118,58,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
119,3668,1000,modis,lst_day_1km,30,5,5,310.94800000000004,0.0,30,
120,4295,1000,modis,lst_day_1km,30,9,24,312.20592592592595,0.5864195236883448,30,
121,965,1000,modis,lst_day_1km,30,12,22,304.3925,0.06750000000000018,30,
122,4092,1000,modis,lst_day_1km,30,11,25,304.8712121212122,0.4650934638199182,30,
123,58,1000,modis,lst_day_1km,30,12,24,304.69666666666666,0.7533333333333351,30,
124,4263,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
125,4263,1000,modis,lst_day_1km,30,6,12,303.1566666666667,0.2366666666666788,30,
126,2640,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
127,2640,1000,modis,lst_day_1km,30,14,24,307.065,0.5207142857142831,30,
128,64,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
129,4824,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
130,3633,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
131,1810,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
132,3974,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
133,964,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
134,4854,1000,modis,lst_day_1km,1,1,3,315.44000000000005,0.7355723395198244,1,
135,4144,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
136,4409,1000,modis,lst_day_1km,1,1,2,288.44000000000005,1.7800000000000011,1,
137,64,1000,modis,lst_day_1km,30,0,0,,,30,Values masked using quality control flag.
138,4824,1000,modis,lst_day_1km,30,19,73,299.8127192982456,0.3473737593798212,30,
139,3633,1000,modis,lst_day_1km,30,3,5,304.31333333333333,0.16970562748476892,30,
140,1810,1000,modis,lst_day_1km,30,19,54,298.87,1.075970029237768,30,
141,3974,1000,modis,lst_day_1km,30,6,11,315.6316666666667,1.0516666666666623,30,
142,964,1000,modis,lst_day_1km,30,14,14,301.6671428571429,0.0,30,
143,4854,1000,modis,lst_day_1km,30,13,34,312.06102564102565,0.32437900743482445,30,
144,4144,1000,modis,lst_day_1km,30,19,46,304.549649122807,0.7439312792609017,30,
145,4409,1000,modis,lst_day_1km,30,19,38,298.0189473684211,0.396842105263156,30,
146,2455,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
147,4262,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
148,81,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
149,3758,1000,modis,lst_day_1km,1,1,3,295.4066666666667,0.2531578339473021,1,
150,207,1000,modis,lst_day_1km,1,1,2,297.14,0.14000000000001478,1,
151,4504,1000,modis,lst_day_1km,1,1,3,299.22666666666663,0.29948103260287395,1,
152,2720,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
153,135,1000,modis,lst_day_1km,1,1,2,299.32,1.0,1,
154,982,1000,modis,lst_day_1km,1,1,2,302.22,0.020000000000010232,1,
155,2850,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
156,2455,1000,modis,lst_day_1km,30,17,45,308.78568627450977,0.439332956512539,30,
157,4262,1000,modis,lst_day_1km,30,7,12,314.71000000000004,0.08142857142857451,30,
158,81,1000,modis,lst_day_1km,30,1,1,314.7,0.0,30,
159,3758,1000,modis,lst_day_1km,30,15,40,295.56733333333335,0.342313058303481,30,
160,207,1000,modis,lst_day_1km,30,19,37,297.39578947368426,0.4431578947368444,30,
161,4504,1000,modis,lst_day_1km,30,16,46,295.37041666666664,0.35357880494407495,30,
162,2720,1000,modis,lst_day_1km,30,5,5,298.6,0.0,30,
163,135,1000,modis,lst_day_1km,30,16,32,295.991875,0.43312499999999865,30,
164,982,1000,modis,lst_day_1km,30,11,22,306.1827272727273,0.6499999999999979,30,
165,2850,1000,modis,lst_day_1km,30,13,29,302.3784615384615,0.9241111392921828,30,
166,456,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
167,3457,1000,modis,lst_day_1km,1,1,3,300.17333333333335,0.095684667296041,1,
168,456,1000,modis,lst_day_1km,30,4,11,305.67833333333334,0.3584850980864028,30,
169,3457,1000,modis,lst_day_1km,30,9,21,298.79925925925926,0.2029101447071245,30,
170,2463,1000,modis,lst_day_1km,1,1,1,307.66,0.0,1,
171,2463,1000,modis,lst_day_1km,30,3,3,307.75333333333333,0.0,30,
172,773,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
173,773,1000,modis,lst_day_1km,30,7,7,295.63428571428574,0.0,30,
174,2280,1000,modis,lst_day_1km,1,1,3,298.2266666666667,0.20997354330696633,1,
175,2280,1000,modis,lst_day_1km,30,14,40,296.9266666666667,0.2603683850921948,30,
176,2783,1000,modis,lst_day_1km,1,1,2,309.72,0.3400000000000034,1,
177,2948,1000,modis,lst_day_1km,1,1,3,308.68,0.4348179695765432,1,
178,2783,1000,modis,lst_day_1km,30,13,23,305.3353846153846,0.24461538461538515,30,
179,2948,1000,modis,lst_day_1km,30,15,42,304.7084444444445,0.39431198695719866,30,
180,3002,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
181,3002,1000,modis,lst_day_1km,30,15,45,292.0853333333333,0.25431894729045407,30,
182,4127,1000,modis,lst_day_1km,1,1,2,287.62,0.2599999999999909,1,
183,182,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
184,4127,1000,modis,lst_day_1km,30,22,43,292.91318181818184,0.1286363636363655,30,
185,182,1000,modis,lst_day_1km,30,8,8,301.09,0.0,30,
186,3982,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
187,3982,1000,modis,lst_day_1km,30,5,5,300.65200000000004,0.0,30,
188,2038,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
189,1248,1000,modis,lst_day_1km,1,1,2,295.97,0.030000000000001137,1,
190,898,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
191,2038,1000,modis,lst_day_1km,30,9,9,292.39777777777783,0.0,30,
192,1248,1000,modis,lst_day_1km,30,12,21,298.00083333333333,0.17749999999999963,30,
193,898,1000,modis,lst_day_1km,30,9,25,295.9496296296296,0.48450573249422857,30,
194,3418,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
195,3418,1000,modis,lst_day_1km,30,13,23,297.0584615384615,0.21230769230769161,30,
196,4130,1000,modis,lst_day_1km,1,1,1,296.7,0.0,1,
197,896,1000,modis,lst_day_1km,1,1,2,299.51,0.12999999999999545,1,
198,1969,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
199,4786,1000,modis,lst_day_1km,1,1,2,303.87,0.06999999999999318,1,
200,1987,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
201,743,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
202,4130,1000,modis,lst_day_1km,30,19,19,297.4715789473684,0.0,30,
203,896,1000,modis,lst_day_1km,30,12,24,294.46583333333336,0.29416666666666913,30,
204,1969,1000,modis,lst_day_1km,30,19,37,300.46578947368425,0.2626315789473674,30,
205,4786,1000,modis,lst_day_1km,30,17,32,298.0388235294118,0.13176470588235348,30,
206,1987,1000,modis,lst_day_1km,30,17,49,295.91764705882355,0.2741099371040884,30,
207,743,1000,modis,lst_day_1km,30,7,17,302.20285714285717,0.19041374208370862,30,
208,4987,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
209,4996,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
210,3940,1000,modis,lst_day_1km,1,1,2,295.20000000000005,0.7800000000000011,1,
211,795,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
212,4987,1000,modis,lst_day_1km,30,13,24,299.4792307692308,0.12846153846153313,30,
213,4996,1000,modis,lst_day_1km,30,13,33,305.13846153846157,0.3548192559359168,30,
214,3940,1000,modis,lst_day_1km,30,16,32,296.18562499999996,0.7793749999999999,30,
215,795,1000,modis,lst_day_1km,30,12,35,304.5083333333333,0.6873231690688842,30,
216,2554,1000,modis,lst_day_1km,2,1,1,307.42,0.0,1,
217,4508,1000,modis,lst_day_1km,2,1,2,303.20000000000005,0.03999999999999204,1,
218,4593,1000,modis,lst_day_1km,2,0,0,,,1,Values masked using quality control flag.
219,2554,1000,modis,lst_day_1km,60,8,8,304.08,0.0,30,
220,4508,1000,modis,lst_day_1km,60,13,24,303.16923076923075,0.4599999999999992,30,
221,4593,1000,modis,lst_day_1km,60,10,10,289.802,0.0,30,
222,3881,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
223,547,1000,modis,lst_day_1km,1,0,0,,,1,Values masked using quality control flag.
224,1133,1000,modis,lst_day_1km,1,1,1,295.3,0.0,1,
