scientificName,decimalLongitude,decimalLatitude
Baeolophus bicolor,-93.0248,35.18227
Baeolophus bicolor,-84.0269699,39.0116453
Baeolophus bicolor,-82.4555308,42.87433
Baeolophus bicolor,-90.6244612,43.6722175
Baeolophus bicolor,-76.3613377,37.6116206
Baeolophus bicolor,-74.5774269,39.5490924
Baeolophus bicolor,-77.7951448,39.4161083
Baeolophus bicolor,-73.8315735,43.0492325
Baeolophus bicolor,-95.532551,36.373767
Baeolophus bicolor,-80.5975109,35.0573118
Baeolophus bicolor,-74.9476288,39.881244
Baeolophus bicolor,-82.2592407,34.8889646
Baeolophus bicolor,-76.883017,40.304847
Baeolophus bicolor,-76.8945283,40.9561984
Baeolophus bicolor,-70.1326,43.75503
Baeolophus bicolor,-94.74382,39.20335
Baeolophus bicolor,-94.0783328,36.1081381
Baeolophus bicolor,-84.6950686,44.6491714
Baeolophus bicolor,-82.3662077,40.6379088
Baeolophus bicolor,-80.7905549,32.465164
Baeolophus bicolor,-84.1315413,44.6219832
Baeolophus bicolor,-97.0871077,32.7774139
Baeolophus bicolor,-76.3686812,37.8717368
Baeolophus bicolor,-72.85654,42.144047
Baeolophus bicolor,-84.5798403,41.4867764
Baeolophus bicolor,-86.4080822,42.0377776
Baeolophus bicolor,-94.4912302,38.6686996
Baeolophus bicolor,-80.0128879,40.6645263
Baeolophus bicolor,-84.3557954,39.3447194
Baeolophus bicolor,-78.6026421,41.9707672
Baeolophus bicolor,-86.0687622,39.871804
Baeolophus bicolor,-79.1297912,35.0150012
Baeolophus bicolor,-76.7228079,37.4968396
Baeolophus bicolor,-80.0991438,35.4641235
Baeolophus bicolor,-90.9923744,38.1953733
Baeolophus bicolor,-85.1393706,35.1590649
Baeolophus bicolor,-78.874963,35.790702
Baeolophus bicolor,-74.2061555,39.787236
Baeolophus bicolor,-80.0438976,37.2652758
Baeolophus bicolor,-74.375926,41.096946
Baeolophus bicolor,-81.5426865,28.7926941
Baeolophus bicolor,-84.2603302,39.0821062
Baeolophus bicolor,-87.41001,30.797252
Baeolophus bicolor,-92.5658226,34.8641021
Baeolophus bicolor,-70.412121,41.645166
Baeolophus bicolor,-79.32112,39.673297
Baeolophus bicolor,-76.512866,39.3359405
Baeolophus bicolor,-90.3413191,38.5218972
Baeolophus bicolor,-87.0346248,35.2178341
Baeolophus bicolor,-74.9592018,38.9843239
Baeolophus bicolor,-76.913225,39.501575
Baeolophus bicolor,-78.5380173,39.6268997
Baeolophus bicolor,-79.1143835,37.4605465
Baeolophus bicolor,-81.339152,41.7100947
Baeolophus bicolor,-82.4449952,32.5763391
Baeolophus bicolor,-70.8370972,43.3850899
Baeolophus bicolor,-73.5432637,43.413767
Baeolophus bicolor,-68.586083,44.413967
Baeolophus bicolor,-82.8846375,41.4927553
Baeolophus bicolor,-75.9054288,41.76206
Baeolophus bicolor,-90.0326157,38.4816245
Baeolophus bicolor,-74.6142206,39.4863975
Baeolophus bicolor,-86.4697838,31.4187754
