scientificName,decimalLongitude,decimalLatitude
Archilochus colubris,-80.7627457,35.1641346
Archilochus colubris,-86.1969566,39.5368034
Archilochus colubris,-78.6897147,43.1456811
Archilochus colubris,-72.2466275,41.4871662
Archilochus colubris,-90.6627,38.7817
Archilochus colubris,-79.2254618,45.3151276
Archilochus colubris,-81.0194247,34.2478334
Archilochus colubris,-76.3649368,36.8590211
Archilochus colubris,-75.9370344,41.3326049
Archilochus colubris,-70.008672,44.2815524
Archilochus colubris,-90.4930437,38.3227076
Archilochus colubris,-97.5717902,27.8426527
Archilochus colubris,-83.8847968,41.5114415
Archilochus colubris,-67.1737576,47.9815056
Archilochus colubris,-80.526471,43.171175
Archilochus colubris,-90.0645447,35.1261566
Archilochus colubris,-75.8018124,39.7513804
Archilochus colubris,-85.02211,36.421509
Archilochus colubris,-77.4734187,43.176981
Archilochus colubris,-74.4459638,40.6673888
Archilochus colubris,-84.117246,33.983042
Archilochus colubris,-78.7265253,44.3519027
Archilochus colubris,-90.4923248,43.1513483
Archilochus colubris,-84.3086958,32.0615984
Archilochus colubris,-70.8440816,42.1621071
Archilochus colubris,-83.9598551,30.855191
Archilochus colubris,-87.495005,32.532893
Archilochus colubris,-84.1494852,31.6090676
Archilochus colubris,-85.4987383,36.182173
Archilochus colubris,-88.7643224,42.9172907
Archilochus colubris,-83.0007863,40.0237284
Archilochus colubris,-70.765686,43.316779
Archilochus colubris,-84.4091177,33.7329057
Archilochus colubris,-80.2659073,46.1058095
Archilochus colubris,-74.9339842,43.7026145
Archilochus colubris,-89.2792583,41.3283502
Archilochus colubris,-75.9667307,41.8947925
Archilochus colubris,-92.674216,45.7804446
Archilochus colubris,-85.8438648,40.9841847
Archilochus colubris,-72.2104098,43.8084603
Archilochus colubris,-90.076128,30.41098
Archilochus colubris,-77.866388,40.786803
Archilochus colubris,-86.240709,12.079188
Archilochus colubris,-76.9291741,39.4446337
Archilochus colubris,-73.8786417,42.6919701
Archilochus colubris,-71.977551,41.5282424
Archilochus colubris,-97.6766968,30.3897573
Archilochus colubris,-97.875427,32.7565575
Archilochus colubris,-86.89454,36.07852
Archilochus colubris,-98.5825002,29.8766672
Archilochus colubris,-92.9839545,34.4440838
Archilochus colubris,-76.4434753,40.0347786
Archilochus colubris,-78.9546008,44.1297334
Archilochus colubris,-94.8717499,32.7023777
Archilochus colubris,-87.7899902,42.0649788
Archilochus colubris,-82.5391717,27.3830169
Archilochus colubris,-88.0764914,42.3359609
Archilochus colubris,-94.8426666,29.8015709
Archilochus colubris,-81.74394,32.43284
Archilochus colubris,-75.7482004,39.6620396
Archilochus colubris,-63.7799478,45.8832122
Archilochus colubris,-82.7652025,36.0502787
Archilochus colubris,-80.1114249,40.9615418
Archilochus colubris,-89.2579508,37.6730533
Archilochus colubris,-64.6092482,44.0656139
Archilochus colubris,-79.3508639,47.3645069
Archilochus colubris,-70.583683,41.621491
Archilochus colubris,-85.1917648,34.2620403
Archilochus colubris,-80.12281,26.15057
Archilochus colubris,-88.4930039,42.8365544
Archilochus colubris,-90.262065,38.068546
Archilochus colubris,-84.5377501,42.2574877
Archilochus colubris,-77.7863601,43.0850354
Archilochus colubris,-73.3308649,41.5303949
Archilochus colubris,-79.555572,38.4057275
Archilochus colubris,-87.3506749,30.5950977
Archilochus colubris,-74.2038167,40.1514854
Archilochus colubris,-75.1175661,38.7017632
Archilochus colubris,-81.0950661,40.8128348
Archilochus colubris,-82.227742,28.201747
Archilochus colubris,-91.4030313,44.7565392
Archilochus colubris,-92.3275298,38.9203962
Archilochus colubris,-79.4538357,48.4268761
Archilochus colubris,-85.9167016,41.6083578
Archilochus colubris,-76.8576479,37.2486254
Archilochus colubris,-71.698692,42.441334
Archilochus colubris,-88.0621737,41.8677192
Archilochus colubris,-75.6255376,38.6429112
Archilochus colubris,-72.2910637,43.7813815
Archilochus colubris,-77.9068226,34.11061
Archilochus colubris,-84.1356692,42.0008952
Archilochus colubris,-68.8681626,44.7548212
Archilochus colubris,-74.3409997,40.779372
Archilochus colubris,-76.6267204,37.410511
Archilochus colubris,-72.57195,42.5265824
Archilochus colubris,-97.0476356,36.7362489
Archilochus colubris,-81.7431736,33.4581551
Archilochus colubris,-90.42332,30.4766029
Archilochus colubris,-73.6544466,41.0890068
Archilochus colubris,-93.2176208,44.7296622
Archilochus colubris,-74.2403819,40.0053721
Archilochus colubris,-73.079223,44.114866
Archilochus colubris,-89.1022968,37.6509368
Archilochus colubris,-77.735492,38.0192578
Archilochus colubris,-89.377869,42.242304
Archilochus colubris,-88.277628,34.980415
Archilochus colubris,-68.5909832,48.4241707
Archilochus colubris,-80.0152248,37.1883479
Archilochus colubris,-98.012604,30.187319
Archilochus colubris,-85.0741875,38.1365611
Archilochus colubris,-74.213953,40.9838609
Archilochus colubris,-61.9083452,47.3788245
Archilochus colubris,-92.7130856,38.0971629
Archilochus colubris,-82.0529687,29.225407
Archilochus colubris,-80.8100449,35.2142394
Archilochus colubris,-72.5466728,42.0520332
Archilochus colubris,-97.16789,26.10922
Archilochus colubris,-94.466327,37.107663
Archilochus colubris,-79.7411735,43.5430681
Archilochus colubris,-90.5210432,45.9820195
Archilochus colubris,-89.0271185,17.0792921
Archilochus colubris,-77.879924,38.992551
Archilochus colubris,-82.0586352,36.4139494
Archilochus colubris,-88.8457489,32.4961198
Archilochus colubris,-82.600447,42.7021517
Archilochus colubris,-94.370377,49.700058
Archilochus colubris,-74.838733,41.73516
Archilochus colubris,-73.8196024,41.0139001
Archilochus colubris,-73.914299,46.6091339
Archilochus colubris,-72.8447306,46.0735507
Archilochus colubris,-75.9814882,39.4911256
Archilochus colubris,-80.9662644,32.0141639
Archilochus colubris,-97.5023746,28.9097983
Archilochus colubris,-93.093615,44.886176
Archilochus colubris,-79.4760418,46.4589692
Archilochus colubris,-77.4202493,38.8322029
Archilochus colubris,-78.5706353,39.1458338
Archilochus colubris,-80.2468657,43.6956332
Archilochus colubris,-73.7664986,45.5046626
Archilochus colubris,-83.6431217,31.717654
Archilochus colubris,-69.600011,43.862077
Archilochus colubris,-70.593373,43.1946285
Archilochus colubris,-97.3799855,32.6442399
Archilochus colubris,-76.3996983,38.2595139
Archilochus colubris,-83.692804,41.0609
Archilochus colubris,-81.6706252,35.231248
Archilochus colubris,-91.2803793,43.3426811
Archilochus colubris,-86.9329295,33.7873895
Archilochus colubris,-69.6410787,44.5756543
Archilochus colubris,-78.9447,35.78551
Archilochus colubris,-72.890975,42.576265
Archilochus colubris,-83.9032705,39.7978106
Archilochus colubris,-71.6642475,48.3710758
Archilochus colubris,-95.3832604,30.0891365
Archilochus colubris,-86.363192,36.220367
Archilochus colubris,-79.6154308,44.5263742
Archilochus colubris,-97.3904228,35.4887755
Archilochus colubris,-85.4629177,42.2409686
Archilochus colubris,-81.7327452,28.097613
Archilochus colubris,-89.153755,45.795318
Archilochus colubris,-88.9618027,40.4786432
Archilochus colubris,-88.0366129,30.8665853
Archilochus colubris,-75.600646,41.01558
Archilochus colubris,-76.174346,38.69271
Archilochus colubris,-85.6868218,10.9343253
Archilochus colubris,-73.6348352,41.0220669
Archilochus colubris,-93.059698,48.477968
Archilochus colubris,-90.8068119,38.8508364
Archilochus colubris,-75.8099771,41.8573838
Archilochus colubris,-83.145479,42.167806
Archilochus colubris,-97.3794866,32.7098618
Archilochus colubris,-90.779178,38.370407
Archilochus colubris,-86.6594562,40.5848747
Archilochus colubris,-95.0543035,29.5178908
Archilochus colubris,-87.0659781,35.9784461
Archilochus colubris,-77.464444,37.5196466
Archilochus colubris,-95.5990738,29.8494008
Archilochus colubris,-71.2431017,42.1302164
Archilochus colubris,-79.6998936,36.1741494
Archilochus colubris,-96.573672,33.753505
Archilochus colubris,-86.4149557,35.8819261
Archilochus colubris,-95.4890881,30.2964292
Archilochus colubris,-76.5023829,40.037662
Archilochus colubris,-95.3932893,29.8048453
Archilochus colubris,-81.334769,29.038353
Archilochus colubris,-83.1916362,35.0572659
Archilochus colubris,-98.652786,29.604027
Archilochus colubris,-73.588114,42.683002
Archilochus colubris,-74.5011715,40.9330012
Archilochus colubris,-73.26379,43.015192
Archilochus colubris,-82.8880692,34.7258123
Archilochus colubris,-84.035347,33.726348
Archilochus colubris,-76.5293884,37.4181633
Archilochus colubris,-81.2406752,40.9758522
Archilochus colubris,-74.802152,44.783843
Archilochus colubris,-74.091021,40.617059
Archilochus colubris,-90.7187462,42.2308053
Archilochus colubris,-72.5940098,41.2794561
Archilochus colubris,-74.8085475,45.9458194
Archilochus colubris,-69.4140723,44.1801215
Archilochus colubris,-95.8004862,32.8980832
Archilochus colubris,-72.6242208,46.3374175
Archilochus colubris,-88.8177724,33.4580458
Archilochus colubris,-82.3691172,29.6111723
Archilochus colubris,-81.5940642,44.2835728
Archilochus colubris,-76.219144,36.8255393
Archilochus colubris,-97.0779839,33.1407567
Archilochus colubris,-72.6811481,46.4664629
Archilochus colubris,-79.0670103,40.7310261
Archilochus colubris,-72.1396833,45.291527
Archilochus colubris,-74.8747973,41.6118371
Archilochus colubris,-81.134398,43.2610036
Archilochus colubris,-81.6666341,40.9435653
Archilochus colubris,-78.7023211,39.881157
Archilochus colubris,-86.877,35.968248
Archilochus colubris,-72.5256228,43.1322625
Archilochus colubris,-69.6570007,43.9772348
Archilochus colubris,-81.1700875,42.662948
Archilochus colubris,-89.3748093,30.3269015
Archilochus colubris,-76.589086,42.407991
Archilochus colubris,-77.8727872,40.9036084
Archilochus colubris,-81.0388899,46.4427069
Archilochus colubris,-74.4178355,42.4645627
Archilochus colubris,-80.51229,40.755759
Archilochus colubris,-86.5029788,39.1407622
Archilochus colubris,-73.126598,42.026078
Archilochus colubris,-77.2262907,39.2930841
Archilochus colubris,-80.0142109,37.3221716
Archilochus colubris,-91.9149041,37.3255501
Archilochus colubris,-73.7825699,43.3733902
Archilochus colubris,-93.14064,45.38964
Archilochus colubris,-94.7051954,37.6889825
Archilochus colubris,-86.4724231,38.9085421
Archilochus colubris,-79.0375704,36.0915314
Archilochus colubris,-71.234107,42.2050771
Archilochus colubris,-80.2050018,26.1111306
Archilochus colubris,-85.9638977,41.7692632
Archilochus colubris,-87.5983876,41.1595696
Archilochus colubris,-73.590777,45.3791389
Archilochus colubris,-78.9919138,45.990782
Archilochus colubris,-98.224619,30.500619
Archilochus colubris,-74.4573766,40.4401455
Archilochus colubris,-85.5314746,36.1454429
Archilochus colubris,-82.4918747,42.8344996
Archilochus colubris,-77.723729,45.017636
Archilochus colubris,-77.6772022,42.6886185
Archilochus colubris,-73.1391621,45.9972001
Archilochus colubris,-82.1098959,40.4353412
Archilochus colubris,-87.4349633,44.606699
Archilochus colubris,-85.0563455,45.2427674
Archilochus colubris,-86.3427168,41.8184031
Archilochus colubris,-82.11866,40.56435
Archilochus colubris,-94.7732455,31.3293847
Archilochus colubris,-97.74346,48.40206
Archilochus colubris,-81.2712837,28.7878172
Archilochus colubris,-97.6637907,35.5642165
Archilochus colubris,-82.8038423,35.4510225
Archilochus colubris,-84.5845,33.99109
Archilochus colubris,-78.95757,36.047777
Archilochus colubris,-87.6279977,41.4700144
Archilochus colubris,-78.137921,38.643712
Archilochus colubris,-78.494938,41.9003526
Archilochus colubris,-85.058918,31.880321
Archilochus colubris,-85.9062195,44.9349116
Archilochus colubris,-94.1911059,39.3731606
Archilochus colubris,-96.9820046,32.5881802
Archilochus colubris,-81.2234205,34.9726278
Archilochus colubris,-89.1607475,42.6570656
Archilochus colubris,-84.551182,33.098154
Archilochus colubris,-82.281083,36.508238
Archilochus colubris,-73.2922481,44.2681931
Archilochus colubris,-89.9430084,34.7932241
Archilochus colubris,-94.369642,35.0905918
Archilochus colubris,-80.3232577,36.3045391
Archilochus colubris,-75.4151425,38.9319165
Archilochus colubris,-98.2210699,30.0432708
Archilochus colubris,-83.5670114,9.8337374
